JobID,title,company,experience,salary,location,job description,skills,post_date,webpage,company overview,industry,job highlights,All
1000,Cybersecurity Analyst,IBM India,5-7 years,INR 600000-1200000 per annum,Chennai,Provide security awareness training. Monitor security threats and vulnerabilities.,Secure Coding Risk Assessment Incident Response Network Security Penetration Testing,2025-01-12,http://www.bala.com/,"IBM India offers AI, cloud computing, and enterprise technology solutions.",E-commerce,Participate in hackathons and innovation challenges within the company. Work closely with product managers to enhance user experience. Work on cutting-edge technologies in a fast-paced environment.,"Cybersecurity Analyst IBM India Chennai Participate in hackathons and innovation challenges within the company. Work closely with product managers to enhance user experience. Work on cutting-edge technologies in a fast-paced environment. Provide security awareness training. Monitor security threats and vulnerabilities. Secure Coding Risk Assessment Incident Response Network Security Penetration Testing IBM India offers AI, cloud computing, and enterprise technology solutions. E-commerce 5-7 years"
1001,Machine Learning Engineer,Tech Mahindra,7-10 years,INR 2500000-3500000 per annum,,Improve model accuracy with hyperparameter tuning. Optimize model training for performance.,"Big Data Frameworks (Spark, Hadoop) Supervised & Unsupervised Learning Model Deployment MLOps Feature Engineering",2025-02-18,http://www.loyal.biz/,Tech Mahindra offers IT services and business process outsourcing to various industries.,Finance,Participate in hackathons and innovation challenges within the company. Engage in continuous learning and skill development programs. Contribute to open-source projects and company-wide initiatives.,"Machine Learning Engineer Tech Mahindra  Participate in hackathons and innovation challenges within the company. Engage in continuous learning and skill development programs. Contribute to open-source projects and company-wide initiatives. Improve model accuracy with hyperparameter tuning. Optimize model training for performance. Big Data Frameworks (Spark, Hadoop) Supervised & Unsupervised Learning Model Deployment MLOps Feature Engineering Tech Mahindra offers IT services and business process outsourcing to various industries. Finance 7-10 years"
1002,Backend Developer,Google India,7-10 years,INR 1200000-1800000 per annum,,Write clean and maintainable backend code. Ensure data consistency and error handling.,Serverless Architecture Containerization (Docker) Authentication & Authorization Node.js/Python/Java RESTful APIs,2025-01-01,http://www.misra.com/,"Google India focuses on search, cloud computing, and AI-driven technological solutions.",Healthcare,Work closely with product managers to enhance user experience. Optimize existing applications for performance and scalability. Work on cutting-edge technologies in a fast-paced environment.,"Backend Developer Google India  Work closely with product managers to enhance user experience. Optimize existing applications for performance and scalability. Work on cutting-edge technologies in a fast-paced environment. Write clean and maintainable backend code. Ensure data consistency and error handling. Serverless Architecture Containerization (Docker) Authentication & Authorization Node.js/Python/Java RESTful APIs Google India focuses on search, cloud computing, and AI-driven technological solutions. Healthcare 7-10 years"
1003,Product Manager,Accenture,5-7 years,INR 2500000-3500000 per annum,Pune,Work with stakeholders for strategic planning. Coordinate product launches and marketing efforts.,Product Strategy User Experience (UX) Competitive Analysis Data-Driven Decision Making Stakeholder Management,2025-01-30,https://www.mallick.com/,"Accenture is a global professional services company with expertise in digital, cloud, and security.",Automobile,Competitive salary package with performance-based incentives. Implement best security practices in software development. Work on cutting-edge technologies in a fast-paced environment.,"Product Manager Accenture Pune Competitive salary package with performance-based incentives. Implement best security practices in software development. Work on cutting-edge technologies in a fast-paced environment. Work with stakeholders for strategic planning. Coordinate product launches and marketing efforts. Product Strategy User Experience (UX) Competitive Analysis Data-Driven Decision Making Stakeholder Management Accenture is a global professional services company with expertise in digital, cloud, and security. Automobile 5-7 years"
1004,Software Engineer,SAP Labs India,1-3 years,INR 1200000-1800000 per annum,,"Integrate third-party services and APIs. Develop, test, and maintain software applications.",Object-Oriented Programming Problem Solving Testing & Debugging CI/CD Cloud Computing,2025-01-23,https://www.dasgupta-mane.net/,SAP Labs India focuses on enterprise software development and cloud solutions.,Finance,Work on cutting-edge technologies in a fast-paced environment. Collaborate with industry experts to build next-generation solutions. Engage with customers to gather feedback and improve products.,"Software Engineer SAP Labs India  Work on cutting-edge technologies in a fast-paced environment. Collaborate with industry experts to build next-generation solutions. Engage with customers to gather feedback and improve products. Integrate third-party services and APIs. Develop, test, and maintain software applications. Object-Oriented Programming Problem Solving Testing & Debugging CI/CD Cloud Computing SAP Labs India focuses on enterprise software development and cloud solutions. Finance 1-3 years"
1005,Software Engineer,Microsoft India,0-1 years,INR 600000-1200000 per annum,,Troubleshoot production issues and deploy fixes. Implement security best practices in development.,CI/CD API Development Databases (SQL & NoSQL) System Design Object-Oriented Programming,2025-02-11,https://www.kunda.biz/,"Microsoft India provides enterprise software, cloud computing, and AI solutions.",Education,Flexible work hours and remote work opportunities available. Optimize existing applications for performance and scalability. Collaborate with industry experts to build next-generation solutions.,"Software Engineer Microsoft India  Flexible work hours and remote work opportunities available. Optimize existing applications for performance and scalability. Collaborate with industry experts to build next-generation solutions. Troubleshoot production issues and deploy fixes. Implement security best practices in development. CI/CD API Development Databases (SQL & NoSQL) System Design Object-Oriented Programming Microsoft India provides enterprise software, cloud computing, and AI solutions. Education 0-1 years"
1006,Backend Developer,Capgemini,3-5 years,INR 2500000-3500000 per annum,Surat,Integrate third-party APIs and services. Work with caching and messaging queues.,Node.js/Python/Java Authentication & Authorization Database Management Microservices RESTful APIs,2025-01-24,http://www.mutti.com/,"Capgemini is a global leader in consulting, digital transformation, and engineering services.",Healthcare,Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes. Opportunity to lead and mentor junior team members.,"Backend Developer Capgemini Surat Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes. Opportunity to lead and mentor junior team members. Integrate third-party APIs and services. Work with caching and messaging queues. Node.js/Python/Java Authentication & Authorization Database Management Microservices RESTful APIs Capgemini is a global leader in consulting, digital transformation, and engineering services. Healthcare 3-5 years"
1007,Software Engineer,Microsoft India,5-7 years,INR 300000-600000 per annum,,Participate in agile development cycles. Work on performance optimization and scalability.,Cloud Computing Databases (SQL & NoSQL) Version Control (Git) Problem Solving Object-Oriented Programming,2025-02-09,http://chakrabarti.com/,"Microsoft India provides enterprise software, cloud computing, and AI solutions.",Finance,Competitive salary package with performance-based incentives. Collaborate with cross-functional teams to develop innovative solutions. Implement best security practices in software development.,"Software Engineer Microsoft India  Competitive salary package with performance-based incentives. Collaborate with cross-functional teams to develop innovative solutions. Implement best security practices in software development. Participate in agile development cycles. Work on performance optimization and scalability. Cloud Computing Databases (SQL & NoSQL) Version Control (Git) Problem Solving Object-Oriented Programming Microsoft India provides enterprise software, cloud computing, and AI solutions. Finance 5-7 years"
1008,DevOps Engineer,Accenture,1-3 years,INR 1200000-1800000 per annum,,Manage cloud services and cost optimization. Work on logging and monitoring solutions.,"Monitoring & Logging CI/CD Pipelines Docker & Kubernetes Configuration Management Infrastructure as Code (Terraform, Ansible)",2025-02-25,https://www.kumer-oommen.com/,"Accenture is a global professional services company with expertise in digital, cloud, and security.",IT,Solve complex technical problems using advanced algorithms. Contribute to open-source projects and company-wide initiatives. Work on cutting-edge technologies in a fast-paced environment.,"DevOps Engineer Accenture  Solve complex technical problems using advanced algorithms. Contribute to open-source projects and company-wide initiatives. Work on cutting-edge technologies in a fast-paced environment. Manage cloud services and cost optimization. Work on logging and monitoring solutions. Monitoring & Logging CI/CD Pipelines Docker & Kubernetes Configuration Management Infrastructure as Code (Terraform, Ansible) Accenture is a global professional services company with expertise in digital, cloud, and security. IT 1-3 years"
1009,Data Scientist,Amazon India,7-10 years,INR 300000-600000 per annum,Jaipur,Develop predictive models and machine learning algorithms. Analyze large datasets to extract insights.,Experimentation & A/B Testing ETL Pipelines Feature Engineering Python/R Statistics & Probability,2025-02-24,https://dara.com/,Amazon India is a leading e-commerce platform providing retail and cloud services.,Automobile,Develop AI-driven models for real-world applications. Solve complex technical problems using advanced algorithms. Flexible work hours and remote work opportunities available.,Data Scientist Amazon India Jaipur Develop AI-driven models for real-world applications. Solve complex technical problems using advanced algorithms. Flexible work hours and remote work opportunities available. Develop predictive models and machine learning algorithms. Analyze large datasets to extract insights. Experimentation & A/B Testing ETL Pipelines Feature Engineering Python/R Statistics & Probability Amazon India is a leading e-commerce platform providing retail and cloud services. Automobile 7-10 years
